LOINC Code;LOINC Label                                                                                                              ;Relation;Local Code;Local Label                                                    ;UCUM Unit      ;Unit Conversion        ;Local Unit;Molecular weight (g/mol);OK/Not OK;Comments
14581-3   ;Acetaminophen [Moles/volume] in Serum or Plasma                                                                          ;=       ;10154     ;Paracetamol.Li-Heparin .photometrisch                          ;umol/L         ;x*6.615394711494697    ;mg/l      ;151,16256               ;         ;
2571-8    ;Triglyceride [Mass/volume] in Serum or Plasma                                                                            ;=       ;10033     ;Triglyceride.Li-Heparin .photometrisch                         ;mg/dL          ;x*85.536302            ;mmol/l    ;855,36302               ;         ;
14927-8   ;Triglyceride [Moles/volume] in Serum or Plasma                                                                           ;=       ;10033     ;Triglyceride.Li-Heparin .photometrisch                         ;mmol/L         ;x*1.0                  ;mmol/l    ;855,36302               ;         ;
2093-3    ;Cholesterol [Mass/volume] in Serum or Plasma                                                                             ;=       ;10032     ;Cholesterin.Li-Heparin .photometrisch                          ;mg/dL          ;x*38.66535400000001    ;mmol/l    ;386,65354               ;         ;
14647-2   ;Cholesterol [Moles/volume] in Serum or Plasma                                                                            ;=       ;10032     ;Cholesterin.Li-Heparin .photometrisch                          ;mmol/L         ;x*1.0                  ;mmol/l    ;386,65354               ;         ;
10535-3   ;Digoxin [Mass/volume] in Serum or Plasma                                                                                 ;=       ;10153     ;Digoxin.Li-Heparin .Turbidimetrie                              ;ng/mL          ;x*1.0                  ;µg/l      ;780,93846               ;         ;
14698-5   ;Digoxin [Moles/volume] in Serum or Plasma                                                                                ;=       ;10153     ;Digoxin.Li-Heparin .Turbidimetrie                              ;nmol/L         ;x*1.2805106307608412   ;µg/l      ;780,93846               ;         ;
1751-7    ;Albumin [Mass/volume] in Serum or Plasma                                                                                 ;=       ;10035     ;Albumin.Li-Heparin .photometrisch                              ;g/dL           ;x*0.1                  ;g/l       ;66500                   ;         ;
54347-0   ;Albumin [Moles/volume] in Serum or Plasma                                                                                ;=       ;10035     ;Albumin.Li-Heparin .photometrisch                              ;umol/L         ;x*15.037593984962406   ;g/l       ;66500                   ;         ;
3968-5    ;Phenytoin [Mass/volume] in Serum or Plasma                                                                               ;=       ;10156     ;Phenytoin.Li-Heparin .Turbidimetrie                            ;ug/mL          ;x*1.0                  ;mg/l      ;252,26798               ;         ;
14877-5   ;Phenytoin [Moles/volume] in Serum or Plasma                                                                              ;=       ;10156     ;Phenytoin.Li-Heparin .Turbidimetrie                            ;umol/L         ;x*3.964038559312997    ;mg/l      ;252,26798               ;         ;
3948-7    ;Phenobarbital [Mass/volume] in Serum or Plasma                                                                           ;=       ;10155     ;Phenobarbital.Li-Heparin .Turbidimetrie                        ;ug/mL          ;x*1.0                  ;mg/l      ;232,239                 ;         ;
14874-2   ;Phenobarbital [Moles/volume] in Serum or Plasma                                                                          ;=       ;10155     ;Phenobarbital.Li-Heparin .Turbidimetrie                        ;umol/L         ;x*4.305908998919217    ;mg/l      ;232,239                 ;         ;
2885-2    ;Protein [Mass/volume] in Serum or Plasma                                                                                 ;=       ;10034     ;Protein.Li-Heparin .photometrisch                              ;g/dL           ;x*0.1                  ;g/l       ;                        ;         ;
1988-5    ;C reactive protein [Mass/volume] in Serum or Plasma                                                                      ;=       ;10037     ;C-reaktives Protein.Li-Heparin .Turbidimetrie-Latex            ;mg/L           ;x*1.0                  ;mg/l      ;25106                   ;         ;
76485-2   ;C reactive protein [Moles/volume] in Serum or Plasma                                                                     ;=       ;10037     ;C-reaktives Protein.Li-Heparin .Turbidimetrie-Latex            ;nmol/L         ;x*39.83111606787222    ;mg/l      ;25106                   ;         ;
4086-5    ;Valproate [Mass/volume] in Serum or Plasma                                                                               ;=       ;10158     ;Valproinsäure.Li-Heparin .EIA                                  ;ug/mL          ;x*1.0                  ;mg/l      ;144,214                 ;         ;
14946-8   ;Valproate [Moles/volume] in Serum or Plasma                                                                              ;=       ;10158     ;Valproinsäure.Li-Heparin .EIA                                  ;umol/L         ;x*6.934139542624155    ;mg/l      ;144,214                 ;         ;
4635-9    ;Free Hemoglobin [Mass/volume] in Serum                                                                                   ;=       ;10036     ;Freies Hämoglobin * **.Li-Heparin .photometrisch               ;mg/dL          ;x*0.1                  ;mg/l      ;64458                   ;         ;
4049-3    ;Theophylline [Mass/volume] in Serum or Plasma                                                                            ;=       ;10157     ;Theophyllin.Li-Heparin .Turbidimetrie                          ;ug/mL          ;x*1.0                  ;mg/l      ;180,167                 ;         ;
14915-3   ;Theophylline [Moles/volume] in Serum or Plasma                                                                           ;=       ;10157     ;Theophyllin.Li-Heparin .Turbidimetrie                          ;umol/L         ;x*5.550406012199792    ;mg/l      ;180,167                 ;         ;
39354-6   ;Cholinesterase in Serum or Plasma --dibucaine/Cholinesterase                                                             ;~       ;10039     ;Dibucainzahl.Li-Heparin .berechnet                             ;%              ;x*1.0                  ;%         ;                        ;         ;
35668-3   ;Gentamicin [Mass/volume] in Serum or Plasma                                                                              ;=       ;10159     ;Gentamicin.Li-Heparin .CEDIA                                   ;mg/L           ;x*1.0                  ;mg/l      ;477,603                 ;         ;
47109-4   ;Gentamicin [Moles/volume] in Serum or Plasma                                                                             ;=       ;10159     ;Gentamicin.Li-Heparin .CEDIA                                   ;umol/L         ;x*2.0937891931164585   ;mg/l      ;477,603                 ;         ;
13457-7   ;Cholesterol in LDL [Mass/volume] in Serum or Plasma by calculation                                                       ;=       ;10038     ;LDL-Chol. (Friedewald-Formel).Li-Heparin .berechnet            ;mg/dL          ;x*38.66535400000001    ;mmol/l    ;386,65354               ;         ;
39469-2   ;Cholesterol in LDL [Moles/volume] in Serum or Plasma by calculation                                                      ;=       ;10038     ;LDL-Chol. (Friedewald-Formel).Li-Heparin .berechnet            ;mmol/L         ;x*1.0                  ;mmol/l    ;386,65354               ;         ;
74097-7   ;Tacrolimus [Mass/volume] in Blood by LC/MS/MS                                                                            ;=       ;10161     ;Tacrolimus (LCMS)*.EDTA (NZ) .LCMS                             ;ng/mL          ;x*1.0                  ;µg/l      ;804,018                 ;         ;
20578-1   ;Vancomycin [Mass/volume] in Serum or Plasma                                                                              ;=       ;10160     ;Vancomycin.Li-Heparin .EIA                                     ;ug/mL          ;x*1.0                  ;mg/l      ;1449,265                ;         ;
31012-8   ;Vancomycin [Moles/volume] in Serum or Plasma                                                                             ;=       ;10160     ;Vancomycin.Li-Heparin .EIA                                     ;umol/L         ;x*0.6900049335352747   ;mg/l      ;1449,265                ;         ;
29247-4   ;Sirolimus [Mass/volume] in Blood                                                                                         ;=       ;10163     ;Sirolimus (Rapamycin)*.EDTA (NZ) .LCMS                         ;ng/mL          ;x*1.0                  ;µg/l      ;                        ;         ;
6598-7    ;Troponin T.cardiac [Mass/volume] in Serum or Plasma                                                                      ;=       ;10042     ;Troponin T.Li-Heparin .ECLIA                                   ;ug/L           ;x*0.001                ;ng/l      ;                        ;         ;
2639-3    ;Myoglobin [Mass/volume] in Serum or Plasma                                                                               ;=       ;10041     ;Myoglobin.Li-Heparin .Turbidimetrie                            ;ng/mL          ;x*1.0                  ;µg/l      ;16700                   ;         ;
56887-3   ;Myoglobin [Moles/volume] in Serum or Plasma                                                                              ;=       ;10041     ;Myoglobin.Li-Heparin .Turbidimetrie                            ;nmol/L         ;x*0.059880239520958084 ;µg/l      ;16700                   ;         ;
74096-9   ;Tacrolimus [Mass/volume] in Blood by Immunoassay                                                                         ;=       ;10162     ;Tacrolimus (EIA) *.EDTA-TACR .EIA                              ;ng/mL          ;x*1.0                  ;µg/l      ;804,018                 ;         ;
76494-4   ;Tacrolimus [Moles/volume] in Blood by Immunoassay                                                                        ;=       ;10162     ;Tacrolimus (EIA) *.EDTA-TACR .EIA                              ;nmol/L         ;x*1.2437532493053636   ;µg/l      ;804,018                 ;         ;
2465-3    ;IgG [Mass/volume] in Serum or Plasma                                                                                     ;=       ;182       ;IgG.Serum .Nephelometrie                                       ;mg/dL          ;x*100.0                ;g/l       ;150000                  ;         ;
77177-4   ;IgG [Moles/volume] in Serum or Plasma                                                                                    ;=       ;182       ;IgG.Serum .Nephelometrie                                       ;umol/L         ;x*6.666666666666667    ;g/l       ;150000                  ;         ;
14978-1   ;Cyclosporine [Mass/volume] in Blood by Immunoassay                                                                       ;=       ;10165     ;Cyclosporin A Talspiegel (EIA) *.EDTA-CSA .CEDIA               ;ug/L           ;x*1.0                  ;µg/l      ;1202,635                ;         ;
78920-6   ;Cyclosporine [Moles/volume] in Blood by Immunoassay                                                                      ;=       ;10165     ;Cyclosporin A Talspiegel (EIA) *.EDTA-CSA .CEDIA               ;nmol/L         ;x*0.8315074814885647   ;µg/l      ;1202,635                ;         ;
4542-7    ;Haptoglobin [Mass/volume] in Serum or Plasma                                                                             ;=       ;10044     ;Haptoglobin.Li-Heparin .Turbidimetrie                          ;mg/dL          ;x*100.0                ;g/l       ;175000                  ;         ;
70209-2   ;Haptoglobin [Moles/volume] in Serum or Plasma                                                                            ;=       ;10044     ;Haptoglobin.Li-Heparin .Turbidimetrie                          ;mol/L          ;x*5.7142857142857145E-6;g/l       ;175000                  ;         ;
50544-6   ;Everolimus [Mass/volume] in Blood                                                                                        ;=       ;10164     ;Certican® (Everolimus) *.EDTA (NZ) .LCMS                       ;ng/mL          ;x*1.0                  ;µg/l      ;                        ;         ;
33863-2   ;Cystatin C [Mass/volume] in Serum or Plasma                                                                              ;=       ;10043     ;Cystatin-C.Li-Heparin .Turbidimetrie                           ;mg/L           ;x*1.0                  ;mg/l      ;                        ;         ;
2465-3    ;IgG [Mass/volume] in Serum or Plasma                                                                                     ;=       ;10046     ;IgG.Li-Heparin .Turbidimetrie                                  ;mg/dL          ;x*100.0                ;g/l       ;150000                  ;         ;
77177-4   ;IgG [Moles/volume] in Serum or Plasma                                                                                    ;=       ;10046     ;IgG.Li-Heparin .Turbidimetrie                                  ;umol/L         ;x*6.666666666666667    ;g/l       ;150000                  ;         ;
4024-6    ;Salicylates [Mass/volume] in Serum or Plasma                                                                             ;=       ;10167     ;Salicylat.Li-Heparin .photometrisch                            ;mg/dL          ;x*0.1                  ;mg/l      ;137,1128                ;         ;
14909-6   ;Salicylates [Moles/volume] in Serum or Plasma                                                                            ;=       ;10167     ;Salicylat.Li-Heparin .photometrisch                            ;mmol/L         ;x*0.007293265107269344 ;mg/l      ;137,1128                ;         ;
2458-8    ;IgA [Mass/volume] in Serum or Plasma                                                                                     ;=       ;10045     ;IgA.Li-Heparin .Turbidimetrie                                  ;mg/dL          ;x*100.0                ;g/l       ;160000                  ;         ;
76487-8   ;IgA [Moles/volume] in Serum or Plasma                                                                                    ;=       ;10045     ;IgA.Li-Heparin .Turbidimetrie                                  ;umol/L         ;x*6.25                 ;g/l       ;160000                  ;         ;
4485-9    ;Complement C3 [Mass/volume] in Serum or Plasma                                                                           ;=       ;10048     ;Komplement C3c.Li-Heparin .Turbidimetrie                       ;mg/dL          ;x*100.0                ;g/l       ;                        ;         ;
55805-6   ;Cyclosporine [Mass/volume] in Blood by LC/MS/MS                                                                          ;=       ;10168     ;Cyclosporin A Talspiegel (LCMS)*.EDTA (NZ) .LCMS               ;ug/L           ;x*1.0                  ;µg/l      ;1202,635                ;         ;
2472-9    ;IgM [Mass/volume] in Serum or Plasma                                                                                     ;=       ;10047     ;IgM.Li-Heparin .Turbidimetrie                                  ;mg/dL          ;x*100.0                ;g/l       ;950000                  ;         ;
76491-0   ;IgM [Moles/volume] in Serum or Plasma                                                                                    ;=       ;10047     ;IgM.Li-Heparin .Turbidimetrie                                  ;umol/L         ;x*1.0526315789473684   ;g/l       ;950000                  ;         ;
4498-2    ;Complement C4 [Mass/volume] in Serum or Plasma                                                                           ;=       ;10049     ;Komplement C4.Li-Heparin .Turbidimetrie                        ;mg/dL          ;x*100.0                ;g/l       ;203000                  ;         ;
76496-9   ;Complement C4 [Moles/volume] in Serum or Plasma                                                                          ;=       ;10049     ;Komplement C4.Li-Heparin .Turbidimetrie                        ;umol/L         ;x*4.926108374384237    ;g/l       ;203000                  ;         ;
20448-7   ;Insulin [Units/volume] in Serum or Plasma                                                                                ;=       ;93        ;Insulin.Serum .ECLIA                                           ;u[IU]/mL       ;x*1.0                  ;mU/l      ;                        ;         ;
986-9     ;C peptide [Mass/volume] in Serum or Plasma                                                                               ;=       ;94        ;C-Peptid.Serum .ECLIA                                          ;ng/mL          ;x*1.0                  ;µg/l      ;                        ;         ;
14633-2   ;C peptide [Moles/volume] in Serum or Plasma                                                                              ;=       ;94        ;C-Peptid.Serum .ECLIA                                          ;pmol/L         ;x*331.0924992980839    ;µg/l      ;3020,304                ;         ;
3034-6    ;Transferrin [Mass/volume] in Serum or Plasma                                                                             ;=       ;900       ;Transferrin abs. für CDT.Serum .Nephelometrie                  ;mg/dL          ;x*100.0                ;g/l       ;80000                   ;         ;
22674-6   ;Transferrin [Moles/volume] in Serum or Plasma                                                                            ;=       ;900       ;Transferrin abs. für CDT.Serum .Nephelometrie                  ;umol/L         ;x*12.5                 ;g/l       ;80000                   ;         ;
